,label,feature,score,alpha
0,sj,weekofyear,26.0873786407767,0.1
1,iq,weekofyear,6.352941176470588,43.6
2,both,weekofyear,19.20689655172414,43.6
3,sj,ndvi_ne,29.009708737864077,14.6
4,iq,ndvi_ne,6.392156862745098,43.6
5,both,ndvi_ne,19.33228840125392,0.1
6,sj,ndvi_nw,28.87864077669903,0.6
7,iq,ndvi_nw,6.352941176470588,43.6
8,both,ndvi_nw,20.009404388714735,0.1
9,sj,ndvi_se,28.95145631067961,2.6
10,iq,ndvi_se,6.372549019607843,43.6
11,both,ndvi_se,20.470219435736677,7.1
12,sj,ndvi_sw,29.111650485436893,43.6
13,iq,ndvi_sw,6.392156862745098,0.1
14,both,ndvi_sw,19.727272727272727,0.1
15,sj,precipitation_amt_mm,29.184466019417474,43.6
16,iq,precipitation_amt_mm,6.2745098039215685,1.6
17,both,precipitation_amt_mm,20.4576802507837,0.1
18,sj,reanalysis_air_temp_k,28.70873786407767,43.6
19,iq,reanalysis_air_temp_k,6.46078431372549,0.1
20,both,reanalysis_air_temp_k,19.169278996865202,0.1
21,sj,reanalysis_avg_temp_k,28.805825242718445,43.6
22,iq,reanalysis_avg_temp_k,6.411764705882353,4.1
23,both,reanalysis_avg_temp_k,20.24137931034483,0.1
24,sj,reanalysis_dew_point_temp_k,28.62135922330097,1.6
25,iq,reanalysis_dew_point_temp_k,5.823529411764706,12.6
26,both,reanalysis_dew_point_temp_k,20.4576802507837,4.1
27,sj,reanalysis_max_air_temp_k,28.281553398058254,43.6
28,iq,reanalysis_max_air_temp_k,6.333333333333333,43.6
29,both,reanalysis_max_air_temp_k,19.946708463949843,0.1
30,sj,reanalysis_min_air_temp_k,28.728155339805824,43.6
31,iq,reanalysis_min_air_temp_k,6.029411764705882,43.6
32,both,reanalysis_min_air_temp_k,17.592476489028215,43.6
33,sj,reanalysis_precip_amt_kg_per_m2,28.941747572815533,0.1
34,iq,reanalysis_precip_amt_kg_per_m2,6.147058823529412,0.6
35,both,reanalysis_precip_amt_kg_per_m2,20.561128526645767,1.1
36,sj,reanalysis_relative_humidity_percent,29.067961165048544,0.1
37,iq,reanalysis_relative_humidity_percent,6.117647058823529,43.6
38,both,reanalysis_relative_humidity_percent,20.012539184952978,0.1
39,sj,reanalysis_sat_precip_amt_mm,29.184466019417474,43.6
40,iq,reanalysis_sat_precip_amt_mm,6.2745098039215685,1.6
41,both,reanalysis_sat_precip_amt_mm,20.4576802507837,0.1
42,sj,reanalysis_specific_humidity_g_per_kg,28.606796116504853,0.6
43,iq,reanalysis_specific_humidity_g_per_kg,5.833333333333333,7.1
44,both,reanalysis_specific_humidity_g_per_kg,20.557993730407524,43.6
45,sj,reanalysis_tdtr_k,28.79126213592233,43.6
46,iq,reanalysis_tdtr_k,6.0588235294117645,43.6
47,both,reanalysis_tdtr_k,18.053291536050157,9.1
48,sj,station_avg_temp_c,29.59223300970874,43.6
49,iq,station_avg_temp_c,6.46078431372549,43.6
50,both,station_avg_temp_c,20.3730407523511,43.6
51,sj,station_diur_temp_rng_c,28.91747572815534,43.6
52,iq,station_diur_temp_rng_c,6.352941176470588,43.6
53,both,station_diur_temp_rng_c,20.163009404388713,448.6
54,sj,station_max_temp_c,29.320388349514563,43.6
55,iq,station_max_temp_c,6.401960784313726,43.6
56,both,station_max_temp_c,20.479623824451412,43.6
57,sj,station_min_temp_c,29.024271844660195,43.6
58,iq,station_min_temp_c,6.627450980392157,0.6
59,both,station_min_temp_c,19.307210031347964,1.1
60,sj,station_precip_mm,29.155339805825243,0.1
61,iq,station_precip_mm,6.46078431372549,43.6
62,both,station_precip_mm,20.28526645768025,0.1
