,city,score,alpha,features
0,sj,25.727810650887573,5.1,weekofyear
1,iq,6.7272727272727275,1.1,weekofyear
2,both,19.745318352059925,0.6,weekofyear
3,sj,27.80473372781065,0.1,ndvi_ne
4,iq,6.709090909090909,0.1,ndvi_ne
5,both,19.95505617977528,0.1,ndvi_ne
6,sj,27.19526627218935,109.6,ndvi_nw
7,iq,6.709090909090909,0.1,ndvi_nw
8,both,20.767790262172284,0.1,ndvi_nw
9,sj,28.331360946745562,1.1,ndvi_se
10,iq,6.709090909090909,0.6,ndvi_se
11,both,20.726591760299627,0.1,ndvi_se
12,sj,27.585798816568047,0.1,ndvi_sw
13,iq,6.709090909090909,0.1,ndvi_sw
14,both,20.771535580524343,0.1,ndvi_sw
15,sj,27.71005917159763,0.1,precipitation_amt_mm
16,iq,6.5636363636363635,17.6,precipitation_amt_mm
17,both,20.262172284644194,0.1,precipitation_amt_mm
18,sj,26.49112426035503,1.1,reanalysis_air_temp_k
19,iq,6.463636363636364,0.1,reanalysis_air_temp_k
20,both,18.640449438202246,0.1,reanalysis_air_temp_k
21,sj,26.568047337278106,1.6,reanalysis_avg_temp_k
22,iq,6.536363636363636,3.6,reanalysis_avg_temp_k
23,both,19.921348314606742,0.1,reanalysis_avg_temp_k
24,sj,26.236686390532544,0.1,reanalysis_dew_point_temp_k
25,iq,6.2,0.1,reanalysis_dew_point_temp_k
26,both,20.348314606741575,2.6,reanalysis_dew_point_temp_k
27,sj,26.42603550295858,0.1,reanalysis_max_air_temp_k
28,iq,6.718181818181818,0.6,reanalysis_max_air_temp_k
29,both,19.831460674157302,0.1,reanalysis_max_air_temp_k
30,sj,26.952662721893493,0.1,reanalysis_min_air_temp_k
31,iq,6.1909090909090905,1.6,reanalysis_min_air_temp_k
32,both,17.973782771535582,7.6,reanalysis_min_air_temp_k
33,sj,27.130177514792898,1.1,reanalysis_precip_amt_kg_per_m2
34,iq,6.5181818181818185,0.6,reanalysis_precip_amt_kg_per_m2
35,both,20.46816479400749,0.6,reanalysis_precip_amt_kg_per_m2
36,sj,26.988165680473372,1.1,reanalysis_relative_humidity_percent
37,iq,6.5636363636363635,4.1,reanalysis_relative_humidity_percent
38,both,19.685393258426966,0.1,reanalysis_relative_humidity_percent
39,sj,27.71005917159763,0.1,reanalysis_sat_precip_amt_mm
40,iq,6.5636363636363635,17.6,reanalysis_sat_precip_amt_mm
41,both,20.262172284644194,0.1,reanalysis_sat_precip_amt_mm
42,sj,26.023668639053255,0.1,reanalysis_specific_humidity_g_per_kg
43,iq,6.181818181818182,0.6,reanalysis_specific_humidity_g_per_kg
44,both,20.359550561797754,0.1,reanalysis_specific_humidity_g_per_kg
45,sj,27.715976331360945,0.6,reanalysis_tdtr_k
46,iq,6.527272727272727,0.1,reanalysis_tdtr_k
47,both,18.318352059925093,13.6,reanalysis_tdtr_k
48,sj,26.562130177514792,0.6,station_avg_temp_c
49,iq,6.4818181818181815,0.6,station_avg_temp_c
50,both,20.55430711610487,10.1,station_avg_temp_c
51,sj,27.325443786982248,0.6,station_diur_temp_rng_c
52,iq,6.736363636363636,0.6,station_diur_temp_rng_c
53,both,19.704119850187265,0.1,station_diur_temp_rng_c
54,sj,26.331360946745562,0.1,station_max_temp_c
55,iq,6.554545454545455,0.1,station_max_temp_c
56,both,20.232209737827716,0.1,station_max_temp_c
57,sj,27.09467455621302,0.1,station_min_temp_c
58,iq,6.363636363636363,0.1,station_min_temp_c
59,both,19.04494382022472,12.6,station_min_temp_c
60,sj,27.45562130177515,1.1,station_precip_mm
61,iq,6.745454545454545,0.1,station_precip_mm
62,both,20.179775280898877,9.1,station_precip_mm
